# timestamps are ISO 8601.
timestamp,value
2019-06-06T00:00:00Z,0
2019-06-06T01:00:00Z,0
2019-06-06T02:00:00Z,0
2019-06-06T03:00:00Z,0
2019-06-06T04:00:00Z,0
2019-06-06T05:00:00Z,10
2019-06-06T06:00:00Z,100
2019-06-06T07:00:00Z,200
2019-06-06T08:00:00Z,350
2019-06-06T09:00:00Z,500
2019-06-06T10:00:00Z,650
2019-06-06T11:00:00Z,800
2019-06-06T12:00:00Z,900
2019-06-06T13:00:00Z,700
2019-06-06T14:00:00Z,200
2019-06-06T15:00:00Z,500
2019-06-06T16:00:00Z,400
2019-06-06T17:00:00Z,200
2019-06-06T18:00:00Z,100
2019-06-06T19:00:00Z,20
2019-06-06T20:00:00Z,0
2019-06-06T21:00:00Z,0
2019-06-06T22:00:00Z,0
2019-06-06T22:00:00Z,0
