# forecast_id: 31ae8548-9a07-11e9-b2f4-0a580a8003d5
# metadata: https://api.solarforecastarbiter.org/forecasts/single/31ae8548-9a07-11e9-b2f4-0a580a8003d5/metadata
timestamp,value
20190501T07:00:00+0000,0.0
20190501T08:00:00+0000,0.0
20190501T09:00:00+0000,0.0
20190501T10:00:00+0000,0.0
20190501T11:00:00+0000,0.0
20190501T12:00:00+0000,0.0
20190501T13:00:00+0000,2.79327
20190501T14:00:00+0000,121.297
20190501T15:00:00+0000,353.003
20190501T16:00:00+0000,580.669
20190501T17:00:00+0000,775.374
20190501T18:00:00+0000,921.324
20190501T19:00:00+0000,1007.77
20190501T20:00:00+0000,1028.53
20190501T21:00:00+0000,982.162
20190501T22:00:00+0000,871.969
20190501T23:00:00+0000,705.925
20190502T00:00:00+0000,496.541
20190502T01:00:00+0000,262.196
20190502T02:00:00+0000,52.2769
20190502T03:00:00+0000,0.0
20190502T04:00:00+0000,0.0
20190502T05:00:00+0000,0.0
20190502T06:00:00+0000,0.0
20190502T07:00:00+0000,0.0
20190502T08:00:00+0000,0.0
20190502T09:00:00+0000,0.0
20190502T10:00:00+0000,0.0
20190502T11:00:00+0000,0.0
20190502T12:00:00+0000,0.0
20190502T13:00:00+0000,1.10582
20190502T14:00:00+0000,43.4225
20190502T15:00:00+0000,124.513
20190502T16:00:00+0000,219.196
20190502T17:00:00+0000,327.597
20190502T18:00:00+0000,412.942
20190502T19:00:00+0000,444.939
20190502T20:00:00+0000,427.254
20190502T21:00:00+0000,344.092
20190502T22:00:00+0000,305.56
20190502T23:00:00+0000,252.121
20190503T00:00:00+0000,174.355
20190503T01:00:00+0000,94.1738
20190503T02:00:00+0000,27.5334
20190503T03:00:00+0000,0.0
20190503T04:00:00+0000,0.0
20190503T05:00:00+0000,0.0
20190503T06:00:00+0000,0.0
20190503T07:00:00+0000,0.0
20190503T08:00:00+0000,0.0
20190503T09:00:00+0000,0.0
20190503T10:00:00+0000,0.0
20190503T11:00:00+0000,0.0
20190503T12:00:00+0000,0.0
20190503T13:00:00+0000,3.54566
20190503T14:00:00+0000,126.772
20190503T15:00:00+0000,358.412
20190503T16:00:00+0000,585.178
20190503T17:00:00+0000,778.979
20190503T18:00:00+0000,924.157
20190503T19:00:00+0000,1010.03
20190503T20:00:00+0000,1030.47
20190503T21:00:00+0000,984.038
20190503T22:00:00+0000,874.055
20190503T23:00:00+0000,708.474
20190504T00:00:00+0000,499.755
20190504T01:00:00+0000,266.118
20190504T02:00:00+0000,55.1876
20190504T03:00:00+0000,0.0
20190504T04:00:00+0000,0.0
20190504T05:00:00+0000,0.0
20190504T06:00:00+0000,0.0
20190504T07:00:00+0000,0.0
20190504T08:00:00+0000,0.0
20190504T09:00:00+0000,0.0
20190504T10:00:00+0000,0.0
20190504T11:00:00+0000,0.0
20190504T12:00:00+0000,0.0
20190504T13:00:00+0000,3.6677
20190504T14:00:00+0000,115.116
20190504T15:00:00+0000,321.095
20190504T16:00:00+0000,530.04
20190504T17:00:00+0000,704.546
20190504T18:00:00+0000,835.233
20190504T19:00:00+0000,886.203
20190504T20:00:00+0000,877.173
20190504T21:00:00+0000,869.681
20190504T22:00:00+0000,852.302
20190504T23:00:00+0000,705.102
20190505T00:00:00+0000,498.079
20190505T01:00:00+0000,268.062
20190505T02:00:00+0000,56.6679
20190505T03:00:00+0000,0.000588232
20190505T04:00:00+0000,0.0
20190505T05:00:00+0000,0.0
20190505T06:00:00+0000,0.0
20190505T07:00:00+0000,0.0
20190505T08:00:00+0000,0.0
20190505T09:00:00+0000,0.0
20190505T10:00:00+0000,0.0
20190505T11:00:00+0000,0.0
20190505T12:00:00+0000,0.0
20190505T13:00:00+0000,4.37115
20190505T14:00:00+0000,126.848
20190505T15:00:00+0000,285.502
20190505T16:00:00+0000,401.635
20190505T17:00:00+0000,543.281
20190505T18:00:00+0000,655.643
20190505T19:00:00+0000,742.338
20190505T20:00:00+0000,743.703
20190505T21:00:00+0000,716.644
20190505T22:00:00+0000,636.867
20190505T23:00:00+0000,493.744
20190506T00:00:00+0000,362.343
20190506T01:00:00+0000,184.001
20190506T02:00:00+0000,38.1263
20190506T03:00:00+0000,0.00230587
20190506T04:00:00+0000,0.0
20190506T05:00:00+0000,0.0
20190506T06:00:00+0000,0.0
20190506T07:00:00+0000,0.0
20190506T08:00:00+0000,0.0
20190506T09:00:00+0000,0.0
20190506T10:00:00+0000,0.0
20190506T11:00:00+0000,0.0
20190506T12:00:00+0000,0.0
20190506T13:00:00+0000,4.80762
20190506T14:00:00+0000,106.53
20190506T15:00:00+0000,249.333
20190506T16:00:00+0000,379.905
20190506T17:00:00+0000,483.204
20190506T18:00:00+0000,584.096
20190506T19:00:00+0000,624.495
20190506T20:00:00+0000,569.698
20190506T21:00:00+0000,460.722
20190506T22:00:00+0000,386.74
20190506T23:00:00+0000,300.164
20190507T00:00:00+0000,192.954
20190507T01:00:00+0000,121.681
20190507T02:00:00+0000,27.4798
20190507T03:00:00+0000,0.00309493
20190507T04:00:00+0000,0.0
20190507T05:00:00+0000,0.0
20190507T06:00:00+0000,0.0
20190507T07:00:00+0000,0.0
20190507T08:00:00+0000,0.0
20190507T09:00:00+0000,0.0
20190507T10:00:00+0000,0.0
20190507T11:00:00+0000,0.0
20190507T12:00:00+0000,0.0
20190507T13:00:00+0000,2.49053
20190507T14:00:00+0000,136.061
20190507T15:00:00+0000,368.164
20190507T16:00:00+0000,593.157
20190507T17:00:00+0000,785.23
20190507T18:00:00+0000,904.821
20190507T19:00:00+0000,1013.83
20190507T20:00:00+0000,1033.74
20190507T21:00:00+0000,987.32
20190507T22:00:00+0000,877.872
20190507T23:00:00+0000,643.761
20190508T00:00:00+0000,436.921
20190508T01:00:00+0000,273.819
20190508T02:00:00+0000,61.197
20190508T03:00:00+0000,0.0141782
20190508T04:00:00+0000,0.0
20190508T05:00:00+0000,0.0
20190508T06:00:00+0000,0.0
20190508T07:00:00+0000,0.0
20190508T08:00:00+0000,0.0
20190508T09:00:00+0000,0.0
20190508T10:00:00+0000,0.0
20190508T11:00:00+0000,0.0
20190508T12:00:00+0000,0.0
20190508T13:00:00+0000,5.72416
20190508T14:00:00+0000,139.323
20190508T15:00:00+0000,370.38
20190508T16:00:00+0000,594.938
20190508T17:00:00+0000,786.598
20190508T18:00:00+0000,930.007
20190508T19:00:00+0000,1014.64
20190508T20:00:00+0000,1034.45
20190508T21:00:00+0000,988.048
20190508T22:00:00+0000,878.756
20190508T23:00:00+0000,714.465
20190509T00:00:00+0000,507.506
20190509T01:00:00+0000,273.92
20190509T02:00:00+0000,62.3243
20190509T03:00:00+0000,0.0217169
20190509T04:00:00+0000,0.0
20190509T05:00:00+0000,0.0
20190509T06:00:00+0000,0.0
20190509T07:00:00+0000,0.0
20190509T08:00:00+0000,0.0
20190509T09:00:00+0000,0.0
20190509T10:00:00+0000,0.0
20190509T11:00:00+0000,0.0
20190509T12:00:00+0000,0.0
20190509T13:00:00+0000,6.19868
20190509T14:00:00+0000,141.623
20190509T15:00:00+0000,372.506
20190509T16:00:00+0000,596.634
20190509T17:00:00+0000,608.645
20190509T18:00:00+0000,380.303
20190509T19:00:00+0000,355.385
20190509T20:00:00+0000,362.286
20190509T21:00:00+0000,346.059
20190509T22:00:00+0000,307.865
20190509T23:00:00+0000,250.46
20190510T00:00:00+0000,178.152
20190510T01:00:00+0000,97.1565
20190510T02:00:00+0000,22.4972
20190510T03:00:00+0000,0.0110265
20190510T04:00:00+0000,0.0
20190510T05:00:00+0000,0.0
20190510T06:00:00+0000,0.0
20190510T07:00:00+0000,0.0
20190510T08:00:00+0000,0.0
20190510T09:00:00+0000,0.0
20190510T10:00:00+0000,0.0
20190510T11:00:00+0000,0.0
20190510T12:00:00+0000,0.0
20190510T13:00:00+0000,6.07336
20190510T14:00:00+0000,134.499
20190510T15:00:00+0000,199.258
20190510T16:00:00+0000,224.941
20190510T17:00:00+0000,312.091
20190510T18:00:00+0000,404.9
20190510T19:00:00+0000,441.487
20190510T20:00:00+0000,436.554
20190510T21:00:00+0000,346.29
20190510T22:00:00+0000,308.155
20190510T23:00:00+0000,255.509
20190511T00:00:00+0000,254.99
20190511T01:00:00+0000,154.118
20190511T02:00:00+0000,35.4507
20190511T03:00:00+0000,0.0295304
20190511T04:00:00+0000,0.0
20190511T05:00:00+0000,0.0
20190511T06:00:00+0000,0.0
20190511T07:00:00+0000,0.0
20190511T08:00:00+0000,0.0
20190511T09:00:00+0000,0.0
20190511T10:00:00+0000,0.0
20190511T11:00:00+0000,0.0
20190511T12:00:00+0000,0.0
20190511T13:00:00+0000,7.17012
20190511T14:00:00+0000,146.001
20190511T15:00:00+0000,376.494
20190511T16:00:00+0000,599.776
20190511T17:00:00+0000,790.247
20190511T18:00:00+0000,932.712
20190511T19:00:00+0000,1016.72
20190511T20:00:00+0000,1036.28
20190511T21:00:00+0000,990.025
20190511T22:00:00+0000,858.337
20190511T23:00:00+0000,619.829
20190512T00:00:00+0000,375.519
